Probe_ID,Probe_Chr,Probe_Start,Probe_End,Unique_GencodeV36_Name,Unique_UCSC_RefGene_Name,Unique_UCSC_RefGene_Group,UCSC_RefGene_Name,UCSC_RefGene_Group,CoRSIV_Chr,CoRSIV_Start,CoRSIV_End,CoRSIV_ID,EPIC,HM450,ME_ID,SIV_ID,ESS_ID,CoRSIV2019_ID
cg01894875,chr1,2190081.0,2190083.0,FAAP20,LOC100128003;C1orf86,Body,C1orf86;LOC100128003;C1orf86,Body;Body;Body,chr1,2189514,2190114,1_2189545_2190083,True,True,,,ESS_chr1_2120985_2121522_C1orf86,
cg14790876,chr1,2881714.0,2881716.0,,,Intergenic,,Intergenic,chr1,2881600,2881800,1_2881600_2881800,True,True,,,,1_1494
cg10091792,chr1,2927790.0,2927792.0,,,Intergenic,,Intergenic,chr1,2927700,2927900,1_2927700_2927900,True,True,,,,1_1522
cg07902789,chr1,3182064.0,3182066.0,PRDM16,PRDM16,Body,PRDM16;PRDM16,Body;Body,chr1,3181418,3182118,1_3181436_3182100,False,True,ME_GB2015_chr1:3098001-3098200,,,1_1667
cg00933249,chr1,3806562.0,3806564.0,,,Intergenic,,Intergenic,chr1,3806500,3806700,1_3806500_3806700,True,False,,,,1_2061
cg18223469,chr1,3825551.0,3825553.0,CEP104,CEP104,Body,CEP104,Body,chr1,3825400,3825600,1_3825400_3825600,True,False,,,,1_2075
cg20703997,chr1,4027615.0,4027617.0,,,Intergenic,,Intergenic,chr1,4027500,4027800,1_4027500_4027800,True,True,,,,1_2137
cg21199251,chr1,4768560.0,4768562.0,AJAP1,AJAP1,Body,AJAP1;AJAP1,Body;Body,chr1,4768500,4768700,1_4768500_4768700,True,False,,,,1_2318
cg05041475,chr1,5736943.0,5736945.0,,,Intergenic,,Intergenic,chr1,5736900,5737100,1_5736900_5737100,True,True,,,,1_2509
cg27370038,chr1,7420608.0,7420610.0,CAMTA1,CAMTA1,Body,CAMTA1,Body,chr1,7420100,7420700,1_7420100_7420700,True,False,,,,1_3116
cg02289343,chr1,9071562.0,9071564.0,SLC2A5,SLC2A5,Body,SLC2A5,Body,chr1,9071543,9071743,1_9071562_9071725,True,True,,SIV_chr1_9131622_9131784_SLC2A5,,
cg17554996,chr1,9071650.0,9071652.0,SLC2A5,SLC2A5,Body,SLC2A5,Body,chr1,9071543,9071743,1_9071562_9071725,True,True,,SIV_chr1_9131622_9131784_SLC2A5,,
cg17243628,chr1,9071723.0,9071725.0,SLC2A5,SLC2A5,Body,SLC2A5,Body,chr1,9071543,9071743,1_9071562_9071725,True,True,,SIV_chr1_9131622_9131784_SLC2A5,,
cg23914842,chr1,9267110.0,9267112.0,H6PD,H6PD,3'UTR,H6PD,3'UTR,chr1,9267000,9267600,1_9267000_9267600,True,True,,,,1_3656
cg00147627,chr1,10395089.0,10395091.0,AL139424.2,,Intergenic,,Intergenic,chr1,10394800,10395100,1_10394800_10395100,True,True,,,,1_4071
cg14107815,chr1,10428200.0,10428202.0,,,Intergenic,,Intergenic,chr1,10428000,10428600,1_10428000_10428600,True,False,,,,1_4081
cg07384165,chr1,10428223.0,10428225.0,,,Intergenic,,Intergenic,chr1,10428000,10428600,1_10428000_10428600,True,True,,,,1_4081
cg05526638,chr1,10814880.0,10814882.0,,,Intergenic,,Intergenic,chr1,10814700,10814900,1_10814700_10814900,True,False,,,,1_4310
cg15056456,chr1,11501431.0,11501433.0,AL590989.1;DISP3,PTCHD2,Body,PTCHD2,Body,chr1,11501397,11501697,1_11501439_11501655,True,False,,SIV_chr1_11561497_11561712_PTCHD2,,
cg24371425,chr1,11501439.0,11501441.0,AL590989.1;DISP3,PTCHD2,Body,PTCHD2,Body,chr1,11501397,11501697,1_11501439_11501655,True,True,,SIV_chr1_11561497_11561712_PTCHD2,,
cg08243619,chr1,11501604.0,11501606.0,AL590989.1;DISP3,PTCHD2,Body,PTCHD2,Body,chr1,11501397,11501697,1_11501439_11501655,True,True,,SIV_chr1_11561497_11561712_PTCHD2,,
cg10116490,chr1,11501653.0,11501655.0,AL590989.1;DISP3,PTCHD2,Body,PTCHD2,Body,chr1,11501397,11501697,1_11501439_11501655,True,True,,SIV_chr1_11561497_11561712_PTCHD2,,
cg00175403,chr1,12163485.0,12163487.0,,,Intergenic,,Intergenic,chr1,12163300,12163500,1_12163300_12163500,True,True,,,,1_4808
cg10307152,chr1,12580649.0,12580651.0,DHRS3,DHRS3,Body,DHRS3,Body,chr1,12580600,12580900,1_12580600_12580900,True,True,,,,1_4932
cg18728165,chr1,14124346.0,14124348.0,KAZN;RNU6-1265P,,Intergenic,,Intergenic,chr1,14124200,14124400,1_14124200_14124400,True,False,,,,1_5187
cg21823649,chr1,14124357.0,14124359.0,KAZN;RNU6-1265P,,Intergenic,,Intergenic,chr1,14124200,14124400,1_14124200_14124400,True,False,,,,1_5187
cg18917957,chr1,15437596.0,15437598.0,CTRC,CTRC,TSS1500,CTRC,TSS1500,chr1,15437500,15437700,1_15437500_15437700,True,True,,,,1_5641
cg23064554,chr1,15437598.0,15437600.0,CTRC,CTRC,TSS1500,CTRC,TSS1500,chr1,15437500,15437700,1_15437500_15437700,True,True,,,,1_5641
cg08471734,chr1,15482321.0,15482323.0,CELA2B,CELA2B,Body,CELA2B,Body,chr1,15482200,15482600,1_15482200_15482600,True,True,,,,1_5650
cg18525383,chr1,15729143.0,15729145.0,AL450998.2;PLEKHM2,PLEKHM2,Body,PLEKHM2,Body,chr1,15729100,15729300,1_15729100_15729300,True,False,,,,1_5740
cg12584510,chr1,16520442.0,16520444.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg15101535,chr1,16520458.0,16520460.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg18991677,chr1,16520470.0,16520472.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,False,,,,1_6085
cg02579903,chr1,16520557.0,16520559.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,False,,,,1_6085
cg14329049,chr1,16520633.0,16520635.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,False,,,,1_6085
cg06662252,chr1,16520661.0,16520663.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,False,,,,1_6085
cg06849778,chr1,16520718.0,16520720.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg26613586,chr1,16520793.0,16520795.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg01059331,chr1,16521039.0,16521041.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg07961027,chr1,16521272.0,16521274.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,False,True,,,,1_6085
cg06293205,chr1,16521305.0,16521307.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg07925738,chr1,16521343.0,16521345.0,AL137802.1;AL137802.3,,Intergenic,,Intergenic,chr1,16520400,16521400,1_16520400_16521400,True,True,,,,1_6085
cg14752068,chr1,16678137.0,16678139.0,,,Intergenic,,Intergenic,chr1,16677900,16678600,1_16677900_16678600,True,False,,,,1_6149
cg13630980,chr1,16678224.0,16678226.0,,,Intergenic,,Intergenic,chr1,16677900,16678600,1_16677900_16678600,True,False,,,,1_6149
cg12442246,chr1,16678268.0,16678270.0,,,Intergenic,,Intergenic,chr1,16677900,16678600,1_16677900_16678600,True,True,,,,1_6149
cg13486430,chr1,16678312.0,16678314.0,,,Intergenic,,Intergenic,chr1,16677900,16678600,1_16677900_16678600,True,True,,,,1_6149
cg09158015,chr1,16678338.0,16678340.0,,,Intergenic,,Intergenic,chr1,16677900,16678600,1_16677900_16678600,True,True,,,,1_6149
cg17179842,chr1,16889671.0,16889673.0,BX284668.5;CROCC,,Intergenic,,Intergenic,chr1,16889600,16890300,1_16889600_16890300,True,False,,,,1_6207
cg14440808,chr1,16889699.0,16889701.0,BX284668.5;CROCC,,Intergenic,,Intergenic,chr1,16889600,16890300,1_16889600_16890300,True,False,,,,1_6207
cg26541649,chr1,16889705.0,16889707.0,BX284668.5;CROCC,,Intergenic,,Intergenic,chr1,16889600,16890300,1_16889600_16890300,True,True,,,,1_6207
cg15889156,chr1,16889999.0,16890001.0,BX284668.5;CROCC,,Intergenic,,Intergenic,chr1,16889600,16890300,1_16889600_16890300,True,False,,,,1_6207
cg24678241,chr1,16900992.0,16900994.0,CROCC,,Intergenic,,Intergenic,chr1,16900900,16901200,1_16900900_16901200,True,True,,,,1_6210
cg09635353,chr1,17075790.0,17075792.0,PADI2,PADI2,Body,PADI2,Body,chr1,17075600,17075800,1_17075600_17075800,True,False,,,,1_6285
cg17667591,chr1,17393447.0,17393449.0,PADI6,PADI6,Body,PADI6,Body,chr1,17393400,17393600,1_17393400_17393600,True,False,,,,1_6355
cg07262842,chr1,18064767.0,18064769.0,LINC01654,LOC101927876,TSS1500,LOC101927876,TSS1500,chr1,18064706,18064906,1_18064706_18064906,True,False,ME_GB2015_chr1:18391201-18391400,,,
cg19726666,chr1,18064795.0,18064797.0,LINC01654,LOC101927876,TSS1500,LOC101927876,TSS1500,chr1,18064706,18064906,1_18064706_18064906,True,False,ME_GB2015_chr1:18391201-18391400,,,
cg16004875,chr1,18575591.0,18575593.0,,,Intergenic,,Intergenic,chr1,18575400,18575700,1_18575400_18575700,True,False,,,,1_6804
cg18795169,chr1,18575670.0,18575672.0,,,Intergenic,,Intergenic,chr1,18575400,18575700,1_18575400_18575700,True,True,,,,1_6804
cg19915618,chr1,18575734.0,18575736.0,,,Intergenic,,Intergenic,chr1,18575700,18576300,1_18575700_18576300,True,False,,,,1_6805
cg21416600,chr1,18703280.0,18703282.0,PAX7,PAX7,Body,PAX7;PAX7;PAX7,Body;Body;Body,chr1,18703000,18703600,1_18703000_18703600,True,True,,,,1_6848
cg00591646,chr1,18784067.0,18784069.0,,,Intergenic,,Intergenic,chr1,18784000,18784800,1_18784000_18784800,True,False,ME_GB2015_chr1:19110801-19111000,SIV_chr1_19110734_19110923_,ESS_chr1_19110734_19111090_,1_6866
cg13786083,chr1,18784239.0,18784241.0,,,Intergenic,,Intergenic,chr1,18784000,18784800,1_18784000_18784800,True,True,ME_GB2015_chr1:19110801-19111000,SIV_chr1_19110734_19110923_,ESS_chr1_19110734_19111090_,1_6866
cg00440468,chr1,18784273.0,18784275.0,,,Intergenic,,Intergenic,chr1,18784000,18784800,1_18784000_18784800,True,False,ME_GB2015_chr1:19110801-19111000,SIV_chr1_19110734_19110923_,ESS_chr1_19110734_19111090_,1_6866
cg19637330,chr1,18784427.0,18784429.0,,,Intergenic,,Intergenic,chr1,18784000,18784800,1_18784000_18784800,True,True,ME_GB2015_chr1:19110801-19111000,SIV_chr1_19110734_19110923_,ESS_chr1_19110734_19111090_,1_6866
cg26220594,chr1,18784483.0,18784485.0,,,Intergenic,,Intergenic,chr1,18784000,18784800,1_18784000_18784800,True,True,ME_GB2015_chr1:19110801-19111000,SIV_chr1_19110734_19110923_,ESS_chr1_19110734_19111090_,1_6866
cg14856563,chr1,18784594.0,18784596.0,,,Intergenic,,Intergenic,chr1,18784000,18784800,1_18784000_18784800,True,True,ME_GB2015_chr1:19110801-19111000,SIV_chr1_19110734_19110923_,ESS_chr1_19110734_19111090_,1_6866
cg18199495,chr1,19328977.0,19328979.0,SLC66A1,PQLC2,3'UTR,PQLC2;PQLC2;PQLC2,3'UTR;3'UTR;3'UTR,chr1,19328800,19329000,1_19328800_19329000,True,True,,,,1_7057
cg01338307,chr1,19859077.0,19859079.0,,,Intergenic,,Intergenic,chr1,19859000,19859200,1_19859000_19859200,True,False,,,,1_7240
cg22141907,chr1,20588686.0,20588688.0,CDA,CDA,TSS1500,CDA,TSS1500,chr1,20588600,20589100,1_20588600_20589100,True,False,,,,1_7426
cg04087271,chr1,20588840.0,20588842.0,CDA,CDA,TSS200,CDA,TSS200,chr1,20588600,20589100,1_20588600_20589100,True,True,,,,1_7426
cg13292626,chr1,20588916.0,20588918.0,CDA,CDA,TSS200,CDA,TSS200,chr1,20588600,20589100,1_20588600_20589100,True,False,,,,1_7426
cg17714127,chr1,20588996.0,20588998.0,CDA,CDA,1stExon;5'UTR,CDA;CDA,5'UTR;1stExon,chr1,20588600,20589100,1_20588600_20589100,True,False,,,,1_7426
cg05278081,chr1,20589082.0,20589084.0,CDA,CDA,1stExon;5'UTR,CDA;CDA,5'UTR;1stExon,chr1,20588600,20589100,1_20588600_20589100,True,False,,,,1_7426
cg00784581,chr1,20589098.0,20589100.0,CDA,CDA,1stExon;5'UTR,CDA;CDA,1stExon;5'UTR,chr1,20588600,20589100,1_20588600_20589100,True,True,,,,1_7426
cg12473606,chr1,22180922.0,22180924.0,,,Intergenic,,Intergenic,chr1,22180800,22181000,1_22180800_22181000,True,False,,,,1_7874
cg17246694,chr1,24154356.0,24154358.0,IFNLR1,IL28RA,3'UTR,IL28RA;IL28RA;IL28RA,3'UTR;3'UTR;3'UTR,chr1,24154300,24154500,1_24154300_24154500,True,True,,,,1_8391
cg23213449,chr1,24300997.0,24300999.0,,,Intergenic,,Intergenic,chr1,24300800,24301200,1_24300800_24301200,True,True,,,,1_8433
cg03372653,chr1,25046397.0,25046399.0,AL050344.1;LINC02793,,Intergenic,,Intergenic,chr1,25046300,25046600,1_25046300_25046600,True,False,,,,1_8628
cg21826606,chr1,25266563.0,25266565.0,AL031432.2;RSRP1,,Intergenic,,Intergenic,chr1,25266524,25266724,1_25266563_25266685,True,True,,,ESS_chr1_25593055_25593176_,
cg16220844,chr1,25266683.0,25266685.0,AL031432.2;RSRP1,,Intergenic,,Intergenic,chr1,25266524,25266724,1_25266563_25266685,True,True,,,ESS_chr1_25593055_25593176_,
cg19815009,chr1,25523576.0,25523578.0,,,Intergenic,,Intergenic,chr1,25523500,25524000,1_25523500_25524000,True,False,,,,1_8736
cg21676740,chr1,27935568.0,27935570.0,SMPDL3B,SMPDL3B,Body;5'UTR,SMPDL3B;SMPDL3B;SMPDL3B,5'UTR;Body;Body,chr1,27935400,27936100,1_27935400_27936100,True,False,,,,1_9546
cg04993605,chr1,28246540.0,28246542.0,AL353622.2;ATP5IF1,,Intergenic,,Intergenic,chr1,28246200,28247100,1_28246200_28247100,True,True,,,,1_9608
cg10110780,chr1,28246627.0,28246629.0,AL353622.2;ATP5IF1,,Intergenic,,Intergenic,chr1,28246200,28247100,1_28246200_28247100,True,False,,,,1_9608
cg11975685,chr1,28246900.0,28246902.0,AL353622.2;ATP5IF1,,Intergenic,,Intergenic,chr1,28246200,28247100,1_28246200_28247100,True,False,,,,1_9608
cg27654173,chr1,30693965.0,30693967.0,,,Intergenic,,Intergenic,chr1,30693900,30694100,1_30693900_30694100,True,False,,,,1_10087
cg25303761,chr1,30783180.0,30783182.0,,,Intergenic,,Intergenic,chr1,30782900,30783400,1_30782900_30783400,True,True,,,,1_10125
cg16580496,chr1,37690721.0,37690723.0,C1orf109,C1orf109,TSS1500,C1orf109,TSS1500,chr1,37690700,37691200,1_37690700_37691200,False,True,,,,1_11563
cg24088508,chr1,37690789.0,37690791.0,C1orf109,C1orf109,TSS1500,C1orf109,TSS1500,chr1,37690700,37691200,1_37690700_37691200,True,True,,,,1_11563
cg12339802,chr1,37690872.0,37690874.0,C1orf109,C1orf109,TSS1500,C1orf109,TSS1500,chr1,37690700,37691200,1_37690700_37691200,True,True,,,,1_11563
cg27170260,chr1,37690902.0,37690904.0,C1orf109,C1orf109,TSS1500,C1orf109,TSS1500,chr1,37690700,37691200,1_37690700_37691200,True,True,,,,1_11563
cg06917450,chr1,37690979.0,37690981.0,C1orf109,C1orf109,TSS1500,C1orf109,TSS1500,chr1,37690700,37691200,1_37690700_37691200,True,True,,,,1_11563
cg11624044,chr1,39524737.0,39524739.0,BMP8A;PPIEL,BMP8A;PPIEL,Body,PPIEL;BMP8A,Body;Body,chr1,39524700,39524900,1_39524700_39524900,True,False,,,,1_11941
cg01934756,chr1,42887071.0,42887073.0,AL512353.2,,Intergenic,,Intergenic,chr1,42887000,42887300,1_42887000_42887300,True,True,,,,1_12627
cg17105912,chr1,42887150.0,42887152.0,AL512353.2,,Intergenic,,Intergenic,chr1,42887000,42887300,1_42887000_42887300,True,True,,,,1_12627
cg09793809,chr1,42887246.0,42887248.0,AL512353.2,,Intergenic,,Intergenic,chr1,42887000,42887300,1_42887000_42887300,True,True,,,,1_12627
cg22607339,chr1,43337487.0,43337489.0,MPL,MPL,TSS1500,MPL,TSS1500,chr1,43337400,43337600,1_43337400_43337600,True,True,,,,1_12731
cg10842584,chr1,43337549.0,43337551.0,MPL,MPL,TSS1500,MPL,TSS1500,chr1,43337400,43337600,1_43337400_43337600,True,True,,,,1_12731
cg21212108,chr1,47766246.0,47766248.0,AL691459.1;TRABD2B,TRABD2B,Body,TRABD2B,Body,chr1,47766200,47766500,1_47766200_47766500,True,False,,,,1_13621
cg08552673,chr1,52002017.0,52002019.0,,,Intergenic,,Intergenic,chr1,52002000,52002200,1_52002000_52002200,True,False,,,,1_14063
cg06937997,chr1,71046416.0,71046418.0,PTGER3,PTGER3,Body,PTGER3;PTGER3;PTGER3;PTGER3;PTGER3;PTGER3;PTGER3;PTGER3;PTGER3;PTGER3,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,chr1,71046000,71046700,1_71046000_71046700,True,True,,,,1_16843
cg02297043,chr1,75125226.0,75125228.0,AC099786.3,,Intergenic,,Intergenic,chr1,75125197,75125697,1_75125226_75125669,False,True,,,ESS_chr1_75590912_75591354_LHX8,
cg01540595,chr1,75125274.0,75125276.0,AC099786.3,,Intergenic,,Intergenic,chr1,75125197,75125697,1_75125226_75125669,True,True,,,ESS_chr1_75590912_75591354_LHX8,
cg01066472,chr1,75125343.0,75125345.0,AC099786.3,,Intergenic,,Intergenic,chr1,75125197,75125697,1_75125226_75125669,True,True,,,ESS_chr1_75590912_75591354_LHX8,
cg00325531,chr1,75125667.0,75125669.0,,,Intergenic,,Intergenic,chr1,75125197,75125697,1_75125226_75125669,True,True,,,ESS_chr1_75590912_75591354_LHX8,
cg01005080,chr1,75127264.0,75127266.0,LHX8,LHX8,TSS1500,LHX8,TSS1500,chr1,75126600,75127600,1_75126600_75127600,True,True,,,,1_17125
cg09766820,chr1,75127332.0,75127334.0,LHX8,LHX8,TSS1500,LHX8,TSS1500,chr1,75126600,75127600,1_75126600_75127600,True,True,,,,1_17125
cg02772132,chr1,75376124.0,75376126.0,SLC44A5,SLC44A5,Body,SLC44A5;SLC44A5,Body;Body,chr1,75375700,75376300,1_75375700_75376300,True,True,,,,1_17156
cg22875332,chr1,75724021.0,75724023.0,ACADM;AL137803.1,ACADM,TSS1500,ACADM;ACADM,TSS1500;TSS1500,chr1,75723969,75724169,1_75724021_75724117,True,True,,SIV_chr1_76189707_76189802_ACADM,,
cg10523679,chr1,75724084.0,75724086.0,ACADM;AL137803.1,ACADM,TSS1500,ACADM;ACADM,TSS1500;TSS1500,chr1,75723969,75724169,1_75724021_75724117,True,True,,SIV_chr1_76189707_76189802_ACADM,,
cg03433033,chr1,75724115.0,75724117.0,ACADM;AL137803.1,ACADM,TSS1500,ACADM;ACADM,TSS1500;TSS1500,chr1,75723969,75724169,1_75724021_75724117,False,True,,SIV_chr1_76189707_76189802_ACADM,,
cg13450265,chr1,85198035.0,85198037.0,SYDE2,SYDE2,Body,SYDE2,Body,chr1,85197600,85198200,1_85197600_85198200,False,True,,,,1_18025
cg14669130,chr1,88993820.0,88993822.0,KYAT3;RBMXL1,RBMXL1;CCBL2,TSS1500,CCBL2;CCBL2;RBMXL1;RBMXL1,TSS1500;TSS1500;TSS1500;TSS1500,chr1,88993700,88994000,1_88993700_88994000,True,True,,,,1_18413
cg11309454,chr1,88993845.0,88993847.0,KYAT3;RBMXL1,RBMXL1;CCBL2,TSS1500,CCBL2;CCBL2;RBMXL1;RBMXL1,TSS1500;TSS1500;TSS1500;TSS1500,chr1,88993700,88994000,1_88993700_88994000,True,True,,,,1_18413
cg23627354,chr1,88993974.0,88993976.0,KYAT3;RBMXL1,RBMXL1;CCBL2,TSS1500,CCBL2;CCBL2;RBMXL1;RBMXL1,TSS1500;TSS1500;TSS1500;TSS1500,chr1,88993700,88994000,1_88993700_88994000,True,True,,,,1_18413
cg11705954,chr1,91546174.0,91546176.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg07017454,chr1,91546421.0,91546423.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg23098371,chr1,91546503.0,91546505.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg05527459,chr1,91546590.0,91546592.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg12403142,chr1,91546850.0,91546852.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg21854759,chr1,91546941.0,91546943.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,False,True,,,,1_18705
cg02896835,chr1,91547057.0,91547059.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,False,True,,,,1_18705
cg13639937,chr1,91547097.0,91547099.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg25838465,chr1,91547178.0,91547180.0,,,Intergenic,,Intergenic,chr1,91546100,91547200,1_91546100_91547200,True,True,,,,1_18705
cg14375944,chr1,93850863.0,93850865.0,,,Intergenic,,Intergenic,chr1,93850844,93851044,1_93850844_93851044,True,True,ME_GB2015_chr1:94316401-94316600,,,
cg24323958,chr1,108199261.0,108199263.0,AL359258.2;AL359258.3;SLC25A24,SLC25A24,Body,SLC25A24,Body,chr1,108198600,108199500,1_108198600_108199500,True,True,,,,1_20297
cg25593510,chr1,109712039.0,109712041.0,GSTM5,GSTM5,TSS1500,GSTM5,TSS1500,chr1,109712018,109712318,1_109712039_109712298,True,True,,SIV_chr1_110254662_110254920_GSTM5,ESS_chr1_110254662_110254855_GSTM5,
cg25520068,chr1,109712056.0,109712058.0,GSTM5,GSTM5,TSS200,GSTM5,TSS200,chr1,109712018,109712318,1_109712039_109712298,True,True,,SIV_chr1_110254662_110254920_GSTM5,ESS_chr1_110254662_110254855_GSTM5,
cg05376982,chr1,109712069.0,109712071.0,GSTM5,GSTM5,TSS200,GSTM5,TSS200,chr1,109712018,109712318,1_109712039_109712298,True,True,,SIV_chr1_110254662_110254920_GSTM5,ESS_chr1_110254662_110254855_GSTM5,
cg20803293,chr1,109712086.0,109712088.0,GSTM5,GSTM5,TSS200,GSTM5,TSS200,chr1,109712018,109712318,1_109712039_109712298,True,True,,SIV_chr1_110254662_110254920_GSTM5,ESS_chr1_110254662_110254855_GSTM5,
cg25210835,chr1,109712205.0,109712207.0,GSTM5,GSTM5,TSS200,GSTM5,TSS200,chr1,109712018,109712318,1_109712039_109712298,True,True,,SIV_chr1_110254662_110254920_GSTM5,ESS_chr1_110254662_110254855_GSTM5,
